Key,Course,Type,Name,Number,Slides,Worksheet,Worksheet Path,Slide Path,Link,Readings,Reading Path,Other Material
1,COMP6741,Lecture,Introduction,1,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides01.pdf,,,Text Files/COMP6741/Lectures/Slides/slides01.txt,10,,,https://www.youtube.com/watch?v=P18EdAKuC1U
2,COMP6741,Lecture,Knowledge Graphs,2,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides02.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet01.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet01.txt,Text Files/COMP6741/Lectures/Slides/slides02.txt,11,,,
3,COMP6741,Lecture,Vocabularies and Ontologies,3,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides03.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet02.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet02.txt,Text Files/COMP6741/Lectures/Slides/slides03.txt,12,,,
4,COMP6741,Lecture,Knowledge Base Queries & SPARQL,4,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides04.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet03.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet03.txt,Text Files/COMP6741/Lectures/Slides/slides04.txt,13,,,http://www.youtube.com/watch?v=25UIgiiYqsE
5,COMP6741,Lecture,Knowledge Base Design & Applications,5,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet04.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet04.txt,Text Files/COMP6741/Lectures/Slides/slides05.txt,14,http://techblog.wikimedia.org/2020/03/24/computational-knowledge-wikidata-wikidata-query-service-and-women-who-are-mayors/,Text Files/COMP6741/Lectures/Readings/reading05.txt,http://www.youtube.com/watch?v=YpK2U1BxX-I
6,COMP6741,Lecture,Recommender Systems,6,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides06.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet05.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet05.txt,Text Files/COMP6741/Lectures/Slides/slides06.txt,15,http://stanford.edu/~shervine/teaching/cs-229/refresher-algebra-calculus,Text Files/COMP6741/Lectures/Readings/reading06.txt,
7,COMP6741,Lecture,Machine Learning for Intelligent Systems,7,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides07.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet06.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet06.txt,Text Files/COMP6741/Lectures/Slides/slides07.txt,16,"http://en.wikipedia.org/wiki/Precision_and_recall, http://en.wikipedia.org/wiki/K-means_clustering, http://www.datacamp.com/community/tutorials/k-nearest-neighbor-classification-scikit-learn",Text Files/COMP6741/Lectures/Readings/reading07.txt,http://www.youtube.com/watch?v=4b5d3muPQmA
8,COMP6741,Lecture,Intelligent Agents,8,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides08.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet07.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet07.txt,Text Files/COMP6741/Lectures/Slides/slides08.txt,17,http://reserves.concordia.ca/ares/ares.dll?Action=10&Type=14&Value=14EF7048,,
9,COMP6741,Lecture,Text Mining,9,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides09.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Worksheets/worksheet08.pdf,Text Files/COMP6741/Lectures/Worksheets/worksheet08.txt,Text Files/COMP6741/Lectures/Slides/slides09.txt,18,,,http://www.youtube.com/watch?v=9k_EfV7Cns0&t=14s
10,COMP6741,Lab,Introduction,1,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Labs/py_tut.pdf,,,Text Files/COMP6741/Labs/py_tut.txt,,,,
