 "name" , "link" , "event" , "resource" ,
 "formal language" , "http://dbpedia.org/resource/Formal_language" , "Lecture 1" , "Slides" ,
 "treebank" , "http://dbpedia.org/resource/Treebank" , "Lecture 9" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 6" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 3" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 4" , "Worksheet" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 5" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 1" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lab 3" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 2" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 2" , "Worksheet" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 4" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lab 4" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lab 5" , "Slides" ,
 "foaf" , "http://dbpedia.org/resource/FOAF_(ontology)" , "Lecture 3" , "Worksheet" ,
 "stack overflow" , "http://dbpedia.org/resource/Stack_Overflow" , "Lab 1" , "Slides" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lab 9" , "Slides" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lecture 4" , "Worksheet" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lab 2" , "Slides" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lab 3" , "Slides" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lecture 2" , "Worksheet" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lecture 5" , "Worksheet" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lecture 8" , "Slides" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lab 5" , "Slides" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lecture 8" , "Worksheet" ,
 "concordia" , "http://dbpedia.org/resource/Concordia_University" , "Lecture 3" , "Worksheet" ,
 "zootopia" , "http://dbpedia.org/resource/Zootopia" , "Lecture 8" , "Slides" ,
 "manhattan distance" , "http://dbpedia.org/resource/Taxicab_geometry" , "Lecture 7" , "Slides" ,
 "lucene" , "http://dbpedia.org/resource/Lucene" , "Lecture 1" , "Slides" ,
 "lucene" , "http://dbpedia.org/resource/Lucene" , "Lab 7" , "Slides" ,
 "lucene" , "http://dbpedia.org/resource/Lucene" , "Lecture 9" , "Slides" ,
 "rng" , "http://dbpedia.org/resource/Rng_(algebra)" , "Lab 1" , "Slides" ,
 "data structure" , "http://dbpedia.org/resource/Data_structure" , "Lab 1" , "Slides" ,
 "data structure" , "http://dbpedia.org/resource/Data_structure" , "Lecture 5" , "Slides" ,
 "data structure" , "http://dbpedia.org/resource/Data_structure" , "Lecture 1" , "Slides" ,
 "world wide web consortium" , "http://dbpedia.org/resource/World_Wide_Web_Consortium" , "Lecture 2" , "Slides" ,
 "chicago" , "http://dbpedia.org/resource/Chicago" , "Lab 9" , "Slides" ,
 "api" , "http://dbpedia.org/resource/Application_programming_interface" , "Lecture 2" , "Slides" ,
 "api" , "http://dbpedia.org/resource/Application_programming_interface" , "Lab 5" , "Slides" ,
 "api" , "http://dbpedia.org/resource/Application_programming_interface" , "Lecture 9" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 4" , "Worksheet" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 5" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 1" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lab 3" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 2" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 2" , "Worksheet" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 4" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 5" , "Worksheet" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lab 4" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lecture 8" , "Slides" ,
 "dbpedia" , "http://dbpedia.org/resource/DBpedia" , "Lab 5" , "Slides" ,
 "google search" , "http://dbpedia.org/resource/Google_Search" , "Lecture 8" , "Slides" ,
 "schütze" , "http://dbpedia.org/resource/Schütze" , "Lecture 6" , "Slides" ,
 "pubmed" , "http://dbpedia.org/resource/PubMed" , "Lecture 9" , "Slides" ,
 "contingency table" , "http://dbpedia.org/resource/Contingency_table" , "Lecture 7" , "Slides" ,
 "machine learning algorithm" , "http://dbpedia.org/resource/Machine_learning" , "Lab 9" , "Slides" ,
