 "topic" , "resource" , "resourceUri" ,
 "foaf" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "data structure" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "dbpedia" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "tim berners-lee" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "budapest" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "concordia university" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "knowledge graph" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "rt" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "david wood" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "rdfs" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "statistical model" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "musicbrainz" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "sql" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "berlin" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "springer" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "wgs84" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "semantic web" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "rdfa" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "google" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "html" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "w3c" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "public knowledge" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "sebastian" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "linked open data" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "metaweb" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "arity" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "freebase" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "international" , "Slides" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
